index_name,fiscal_year,index_value
ILLUSTRATIVE 2% - replace with the published index,2020,0.887971
ILLUSTRATIVE 2% - replace with the published index,2021,0.905731
ILLUSTRATIVE 2% - replace with the published index,2022,0.923845
ILLUSTRATIVE 2% - replace with the published index,2023,0.942322
ILLUSTRATIVE 2% - replace with the published index,2024,0.961169
ILLUSTRATIVE 2% - replace with the published index,2025,0.980392
ILLUSTRATIVE 2% - replace with the published index,2026,1.0
ILLUSTRATIVE 2% - replace with the published index,2027,1.02
ILLUSTRATIVE 2% - replace with the published index,2028,1.0404
ILLUSTRATIVE 2% - replace with the published index,2029,1.061208
ILLUSTRATIVE 2% - replace with the published index,2030,1.082432
ILLUSTRATIVE 2% - replace with the published index,2031,1.104081
ILLUSTRATIVE 2% - replace with the published index,2032,1.126162
ILLUSTRATIVE 2% - replace with the published index,2033,1.148686
ILLUSTRATIVE 2% - replace with the published index,2034,1.171659
ILLUSTRATIVE 2% - replace with the published index,2035,1.195093
ILLUSTRATIVE 2% - replace with the published index,2036,1.218994
ILLUSTRATIVE 2% - replace with the published index,2037,1.243374
ILLUSTRATIVE 2% - replace with the published index,2038,1.268242
ILLUSTRATIVE 2% - replace with the published index,2039,1.293607
ILLUSTRATIVE 2% - replace with the published index,2040,1.319479
ILLUSTRATIVE 2% - replace with the published index,2041,1.345868
ILLUSTRATIVE 2% - replace with the published index,2042,1.372786
ILLUSTRATIVE 2% - replace with the published index,2043,1.400241
ILLUSTRATIVE 2% - replace with the published index,2044,1.428246
ILLUSTRATIVE 2% - replace with the published index,2045,1.456811
